word,clue
advice,an opinion or a suggestion about what somebody should do in a particular situation
advise,to tell somebody what you think they should do in a particular situation
advocate,a person who supports or speaks in favour of somebody or of a public plan or action
aesthetic,connected with beauty and art and the understanding of beautiful things
affair,events that are of public interest or political importance
affect,to produce a change in somebody/something
affection,the feeling of liking or loving somebody/something very much and caring about them
afford,to have enough money to be able to buy or do something
affordable,cheap enough that people can afford to pay it or buy it
afraid,feeling fear; frightened because you think that you might be hurt or suffer
after,later in time; afterwards
aftermath,"the situation that exists as a result of an important (and usually unpleasant) event, especially a war, an accident, etc."
afternoon,the period of time from 12 o'clock in the middle of the day until about 6 o’clock in the evening
afterwards,at a later time; after an event that has already been mentioned
again,one more time; on another occasion
against,opposing or disagreeing with somebody/something
age,the number of years that a person has lived or a thing has existed
aged,of the age of
agency,a business or an organization that provides a particular service especially when representing other businesses or organizations
agenda,a list of items to be discussed at a meeting
agent,"a person whose job is to act for, or manage the affairs of, other people in business, politics, etc."
aggression,feelings of anger and hate that may result in threatening or violent behaviour
aggressive,"angry, and behaving in a threatening way; ready to attack"
ago,used in expressions of time with the simple past tense to show how far in the past something happened
agree,to have the same opinion as somebody; to say that you have the same opinion
agreement,"an arrangement, a promise or a contract made with somebody"
agricultural,connected with the science or practice of farming
agriculture,the science or practice of farming
ah,"used to express surprise, pleasure or sympathy, or when you disagree with somebody"
ahead,further forward in space or time; in front
aid,"money, food, etc. that is sent to help countries in difficult situations"
aide,"a person who helps another person, especially a politician, in their job"
AIDS,a serious illness caused by a virus called HIV that attacks the body’s ability to resist infection (the abbreviation for ‘Acquired Immune Deficiency Syndrome’)
aim,the purpose of doing something; what somebody is trying to achieve
air,the mixture of gases that surrounds the earth and that we breathe
aircraft,any vehicle that can fly and carry goods or passengers
airline,a company that provides regular flights to take passengers and goods to different places
airport,a place where planes land and take off and that has buildings for passengers to wait in
alarm,a loud noise or a signal that warns people of danger or of a problem
albeit,although
album,"a book in which you keep photographs, stamps, etc."
alcohol,"drinks such as beer, wine, etc. that can make people drunk"
alcoholic,connected with or containing alcohol
alert,able to think quickly; quick to notice things
alien,strange and frightening; different from what you are used to
align,"to arrange something in the correct position, or to be in the correct position, in relation to something else, especially in a straight line"
alignment,arrangement in a straight line
alike,very similar
alive,living; not dead
all,completely
allegation,"a public statement that is made without giving proof, accusing somebody of doing something that is wrong or illegal"
allege,to state something as a fact but without giving proof
allegedly,expressed as though something is a fact but without giving any proof
alliance,"an agreement between countries, political parties, etc. to work together in order to achieve something that they all want"
allocate,to give something officially to somebody/something for a particular purpose
allocation,"an amount of money, space, etc. that is given to somebody for a particular purpose"
allow,to let somebody/something do something; to let something happen or be done
allowance,an amount of money that is given to somebody regularly or for a particular purpose
ally,"a country that has agreed to help and support another country, especially in case of a war"
almost,not quite
alone,without any other people
along,from one end to or towards the other end of something
alongside,next to or at the side of something
already,before now or before a particular time in the past
also,in addition; too
alter,to become different; to make somebody/something different
alternative,that can be used instead of something else
although,used for introducing a statement that makes the main statement in a sentence seem surprising
altogether,(used to emphasize something) completely; in every way
aluminium,"a chemical element. Aluminium is a light, silver-grey metal used for making pans, etc."
always,at all times; on every occasion
amateur,"doing something for pleasure or interest, not as a job"
amazed,very surprised
amazing,"very surprising, especially in a way that you like or admire"
ambassador,an official who lives in a foreign country as the senior representative there of their own country
ambition,something that you want to do or achieve very much
ambitious,"determined to be successful, rich, powerful, etc."
ambulance,"a vehicle with special equipment, used for taking sick or injured people to a hospital"
amend,"to change a law, document, statement, etc. slightly in order to correct a mistake or to improve it"
amendment,a small change or improvement that is made to a document or proposed new law; the process of changing a document or proposed new law
amid,"in the middle of or during something, especially something that causes excitement or fear"
among,surrounded by somebody/something; in the middle of somebody/something
amount,a quantity of something
amusing,funny and giving pleasure
analogy,a comparison of one thing with another thing that has similar features; a feature that is similar
analyse,"to examine the nature or structure of something, especially by separating it into its parts, in order to understand or explain it"
analysis,the detailed study or examination of something in order to understand more about it; the result of the study
analyst,a person whose job involves examining facts or materials in order to give an opinion on them
ancestor,a person in your family who lived a long time ago
anchor,a heavy metal object that is attached to a rope or chain and dropped over the side of a ship or boat to keep it in one place
ancient,belonging to a period of history that is thousands of years in the past
and,also; in addition to
angel,"a spirit who is believed to be a servant of God, and is sent by God to deliver a message or perform a task. Angels are often shown dressed in white, with wings."
anger,the strong feeling that you have when something has happened that you think is bad and unfair
angle,"the space between two lines or surfaces that join, measured in degrees"
angry,having strong feelings about something that you dislike very much or about an unfair situation
animal,"a creature that is not a bird, a fish, a reptile, an insect or a human"
animation,"the process of making films, videos and computer games in which drawings, models or images of people and animals seem to move"
ankle,the joint connecting the foot to the leg; the narrow part of the leg just above the ankle joint
anniversary,a date that is an exact number of years after the date of an important or special event
announce,"to tell people something officially, especially about a decision, plans, etc."
announcement,a spoken or written statement that informs people about something
annoy,to make somebody slightly angry
annoyed,slightly angry
annoying,making somebody feel slightly angry
annual,happening or done once every year
annually,once a year
anonymous,with a name that is not known or that is not made public
another,one more; an extra thing or person
answer,"something that you say, write or do to react to a question or situation"
anticipate,to expect something
anxiety,the state of feeling nervous or worried that something bad is going to happen
anxious,feeling worried or nervous
any,"used to emphasize an adjective or adverb in negative sentences or questions, meaning ‘at all’"
anybody,"used instead of somebody in negative sentences and in questions after if/whether, and after verbs such as prevent, forbid, avoid, etc."
anyone,"used instead of someone in negative sentences and in questions after if/whether, and after verbs such as prevent, forbid, avoid, etc."
anything,"used instead of something in negative sentences and in questions; after if/whether; and after verbs such as prevent, ban, avoid, etc."
anyway,used when adding something to support an idea or argument
anywhere,used in negative sentences and in questions instead of somewhere
apart,"separated by a distance, of space or time"
apartment,"a set of rooms for living in, usually on one floor of a building"
apologize,to say that you are sorry for doing something wrong or causing a problem
apology,a word or statement saying sorry for something that has been done wrong or that causes a problem
app,"a piece of software that you can download to a device such as a smartphone or tablet, for example to look up information or to play a game"
apparatus,the tools or other pieces of equipment that are needed for a particular activity or task
apparent,easy to see or understand
apparently,according to what you have heard or read; according to the way something appears
appeal,"a deeply felt request for money, help or information that is needed immediately, especially one made by a charity or by the police"
appealing,attractive or interesting
appear,to start to be seen
appearance,the way that somebody/something looks on the outside; what somebody/something seems to be
appetite,physical desire for food
applaud,to show your approval of somebody/something by clapping your hands (= hitting your open hands together several times)
apple,a round fruit with shiny red or green skin that is fairly hard and white inside
applicable,that can be said to be true in the case of somebody/something
applicant,"a person who makes a formal request for something (= applies for it), especially for a job, a place at a college or university, etc."
application,"a formal (often written) request for something, such as a job, permission to do something or a place at a college or university"
apply,"to make a formal request, usually in writing, for something such as a job, a loan, permission for something, a place at a university, etc."
appoint,to choose somebody for a job or position of responsibility
appointment,"a formal arrangement to meet or visit somebody at a particular time, especially for a reason connected with their work"
appreciate,to recognize the good qualities of somebody/something
appreciation,pleasure that you have when you recognize and enjoy the good qualities of somebody/something
approach,a way of dealing with somebody/something; a way of doing or thinking about something such as a problem or a task
appropriate,"suitable, acceptable or correct for the particular circumstances"
appropriately,"in a way that is suitable, acceptable or correct for the particular circumstances"
approval,the feeling that somebody/something is good or acceptable; a positive opinion of somebody/something
approve,"to think that somebody/something is good, acceptable or suitable"
approximately,"used to show that something is almost, but not completely, accurate or correct"
April,"the fourth month of the year, between March and May"
arbitrary,"not seeming to be based on a reason, system or plan and sometimes seeming unfair"
architect,a person whose job is designing buildings
architectural,relating to architecture and buildings
architecture,the art and study of designing buildings
archive,"a collection of historical documents or records of a government, a family, a place or an organization; the place where these records are stored"
area,"part of a place, town, etc., or a region of a country or the world"
arena,a place with a flat open area in the middle and seats around it where people can watch sports and entertainment
arguably,used (often before a comparative or superlative adjective) when you are stating an opinion that you believe you could give reasons to support
argue,to speak angrily to somebody because you disagree with them
argument,"a conversation or discussion in which two or more people disagree, often angrily"
arise,to happen; to start to exist
arm,either of the two long parts that stick out from the top of the body and connect the shoulders to the hands
armed,involving the use of weapons
arms,"weapons, especially as used by the army, navy, etc."
army,a large organized group of soldiers who are trained to fight on land
around,approximately
arrange,to plan or organize something in advance
arrangement,a plan or preparation that you make so that something can happen
array,"a group or collection of things or people, often one that is large or impressive"
arrest,the act of arresting somebody
arrival,an act of coming or being brought to a place
arrive,"to get to a place, especially at the end of a journey"
arrow,"a thin stick with a sharp point at one end, which is shot from a bow"
art,"the use of the imagination to express ideas or feelings, particularly in painting, drawing or sculpture"
article,"a piece of writing about a particular subject in a newspaper or magazine, on a website, etc."
articulate,to express or explain your thoughts or feelings clearly in words
artificial,made or produced to copy something natural; not real
artist,"a person who creates works of art, especially paintings or drawings"
artistic,connected with art or artists
artwork,"pictures and photographs prepared for books, magazines, etc."
as,"used when you are comparing two people or things, or two situations"
ash,"the grey or black powder that is left after something, especially tobacco, wood or coal, has burnt"
ashamed,feeling shame or feeling embarrassed about somebody/something or because of something you have done
aside,to one side; out of the way
ask,"to say or write something in the form of a question, in order to get information"
asleep,sleeping
aspect,"a particular part or feature of a situation, an idea, a problem, etc.; a way in which it may be considered"
aspiration,a strong desire to have or do something
aspire,to have a strong desire to achieve or to become something
assassination,"the murder of an important or famous person, especially for political reasons"
assault,the crime of attacking somebody physically
assemble,to come together as a group; to bring people or things together as a group
assembly,a group of people who have been elected to meet together regularly and make decisions or laws for a particular region or country
assert,to state clearly and definitely that something is true
assertion,a statement saying that you strongly believe something to be true
assess,to make a judgement about the nature or quality of somebody/something
assessment,an opinion or a judgement about somebody/something that has been thought about very carefully
asset,a person or thing that is valuable or useful to somebody/something
assign,"to give somebody something that they can use, or some work or responsibility"
assignment,"a task or piece of work that somebody is given to do, usually as part of their job or studies"
assist,to help somebody to do something
assistance,help or support
assistant,having a rank below that of a senior person and helping them in their work
associate,to make a connection between people or things in your mind
associated,"if one thing is associated with another, the two things are connected because they happen together or one thing causes the other"
association,an official group of people who have joined together for a particular purpose
assume,to think or accept that something is true but without having proof of it
assumption,"a belief or feeling that something is true or that something will happen, although there is no proof"
assurance,"a statement that something will certainly be true or will certainly happen, particularly when there has been doubt about it"
assure,"to tell somebody that something is definitely true or is definitely going to happen, especially when they have doubts about it"
astonishing,very surprising; difficult to believe
asylum,"protection that a government gives to people who have left their own country, usually because they were in danger for political reasons"
at,used to say where something/somebody is or where something happens
athlete,a person who competes in sports
atmosphere,the mixture of gases that surrounds the earth
atrocity,"a cruel and violent act, especially in a war"
attach,to fasten or join one thing to another
attachment,a document that you send to somebody using email
attack,an act of using violence to try to hurt or kill somebody
attain,"to succeed in getting something, usually after a lot of effort"
attempt,"an act of trying to do something, especially something difficult, often with no success"
attend,to be present at an event
attendance,"the act of being present at a place, for example at school"
attention,used for asking people to listen to something that is being announced
attitude,the way that you think and feel about somebody/something; the way that you behave towards somebody/something that shows how you think and feel
attorney,"a lawyer, especially one who can act for somebody in court"
attract,"if you are attracted by something, it interests you and makes you want it; if you are attracted by somebody, you like or admire them"
attraction,an interesting or lively place to go or thing to do
attractive,"pleasant to look at, especially in a sexual way"
attribute,a quality or feature of somebody/something
auction,a public sale in which things are sold to the person who offers the most money for them
audience,"the group of people who have gathered to watch or listen to something (a play, concert, somebody speaking, etc.)"
audio,connected with sound that is recorded
audit,an official examination of business and financial records to see that they are true and correct
August,"the 8th month of the year, between July and September"
aunt,the sister of your father or mother; the wife of your uncle or aunt
authentic,known to be real and what somebody claims it is and not a copy
author,a person who writes books or the person who wrote a particular book
authority,the power to give orders to people
authorize,"to give official permission for something, or for somebody to do something"
automatic,having controls that work without needing a person to operate them
automatically,without needing a person to operate controls
autonomy,"the freedom for a country, a region or an organization to govern itself independently"
autumn,"the season of the year between summer and winter, when leaves change colour and the weather becomes colder"
availability,"the fact that something is possible to get, buy or find"
available,"that you can get, buy or find"
average,"calculated by adding several amounts together, finding a total, and dividing the total by the number of amounts"
avoid,to prevent something bad from happening
await,to wait for somebody/something
award,"a prize such as money, etc. for something that somebody has done"
aware,knowing or realizing something
awareness,knowing something; knowing that something exists and is important
away,to or at a distance from somebody/something in space or time
awful,very bad or unpleasant
awkward,making you feel embarrassed
baby,a very young child or animal
back,located behind or at the back of something
backdrop,everything that can be seen around an event or scene
background,"the details of a person’s family, education, experience, etc."
backing,help and support from somebody to do something; financial support for something
backup,extra help or support that you can get if necessary
backwards,towards a place or position that is behind
bacteria,"the simplest and smallest forms of life. Bacteria exist in large numbers in air, water and soil, and also in living and dead creatures and plants, and are often a cause of disease."
bad,unpleasant; full of problems
badge,"a small piece of metal or plastic, with a design or words on it, that a person wears or carries to show that they belong to an organization, support something, have achieved something, have a particular rank, etc."
badly,without skill or care
bag,"a container made of cloth, leather, plastic or paper, used to carry things in, especially when shopping or travelling"
bail,"money that somebody agrees to pay if a person accused of a crime does not appear at their trial. When bail has been arranged, the accused person is allowed to go free until the trial."
bake,to cook food in an oven without extra fat or liquid; to be cooked in this way
balance,"a situation in which different things exist in equal, correct or good amounts"
balanced,keeping or showing a balance so that different things or different parts of something exist in equal or correct amounts
ball,"a round object used for throwing, hitting or kicking in games and sports"
ballet,a style of dancing that tells a dramatic story with music but no talking or singing
balloon,a small bag made of very thin rubber that becomes larger and rounder when you fill it with air or gas. Balloons are brightly coloured and used as decorations or toys.
ballot,the system of voting in writing and usually in secret; an occasion on which a vote is held
ban,an official rule that says that something is not allowed
banana,"a long curved fruit with a thick yellow skin and that is soft inside, which grows on trees in hot countries"
band,"a small group of musicians who play popular music together, often with a singer or singers"
bank,"an organization that provides various financial services, for example keeping or lending money"
banner,a long piece of cloth with a message on it that is carried between two poles or hung in a public place to show support for something
bar,a place where you can buy and drink alcoholic and other drinks
bare,not covered by any clothes
barely,in a way that is just possible but only with difficulty
bargain,a thing bought for less than the usual price
barrel,"a large round container, usually made of wood or metal, with flat ends and, usually, curved sides"
barrier,an object like a fence that prevents people from moving forward from one place to another
base,"the lowest part of something, especially the part or surface on which it rests or stands"
baseball,"a game played especially in the US by two teams of nine players, using a bat and ball. Each player tries to hit the ball and then run around four bases before the other team can return the ball."
based,"if one thing is based on another, it uses it or is developed from it"
basement,"a room or rooms in a building, partly or completely below the level of the ground"
basic,forming the part of something that is most necessary and from which other things develop
basically,"in the most important ways, without considering things that are less important"
basis,the way things are organized or arranged; how often something happens
basket,"a container for holding or carrying things. Baskets are made of long thin pieces of material that bends and twists easily, for example plastic, wire or wicker."
basketball,"a game played by two teams of five players, using a large ball which players try to throw into a high net hanging from a ring"
bass,"the lowest tone or part in music, for instruments or voices"
bat,"a piece of wood with a handle, made in various shapes and sizes, and used for hitting the ball in games such as baseball, cricket and table tennis"
bath,"a large, long container that you put water in and then get into to wash your whole body"
bathroom,"a room in which there is a bath, a washbasin and often a toilet"
battery,"a device that is placed inside a car engine, clock, radio, etc. and that produces the electricity that makes it work"
battle,"a fight between armies, ships or planes, especially during a war; a violent fight between groups of people"
battlefield,a place where a battle is being fought or has been fought
bay,"a part of the sea, or of a large lake, partly surrounded by a wide curve of the land"
be,"used when you are naming people or things, describing them or giving more information about them"
beach,"an area of sand or small stones (called shingle), next to the sea or a lake"
beam,"a line of light, electromagnetic waves or particles"
bean,"a seed, or pod containing seeds, of a climbing plant, eaten as a vegetable. There are several types of bean and the plants that they grow on are also called beans."
bear,a heavy wild animal with thick fur and sharp claws (= pointed parts on the ends of its feet). There are many types of bear.
beast,"an animal, especially one that is large or dangerous, or one that is unusual"
beat,"a single hit to something, such as a drum, or a movement of something, such as your heart; the sound that this makes"
beautiful,having beauty; giving pleasure to the senses or to the mind
beauty,the quality of giving pleasure to the senses or to the mind
because,for the reason that
become,to start to be something
bed,a piece of furniture for sleeping on
bedroom,a room for sleeping in
bee,a black and yellow flying insect that can sting (= touch your skin and make you feel a sharp pain).Bees live in large groups and make honey (= a sweet sticky substance that is good to eat).
beef,meat that comes from a cow
beer,an alcoholic drink made from malt with hops added to give it taste. There are many types of beer.
before,at an earlier time; in the past; already
beg,to ask somebody for something especially in an anxious way because you want or need it very much
begin,to start doing something; to do the first part of something
beginning,"the time when something starts; the first part of an event, a story, etc."
behalf,in order to help somebody
behave,to do things in a particular way
behaviour,"the way that somebody behaves, especially towards other people"
behind,at or towards the back of somebody/something; further back
being,existence
belief,a strong feeling that something/somebody exists or is true; confidence that something/somebody is good or right
believe,to feel certain that something is true or that somebody is telling you the truth
bell,"a hollow metal object, often like a cup in shape, that makes a ringing sound when hit by a small piece of metal inside it; the sound that it makes"
belong,to be in the right or suitable place
beloved,loved very much
below,"at or to a lower level, position or place"
belt,"a long narrow piece of leather, cloth, etc. that you wear around the middle part of your body"
bench,"a long seat for two or more people, usually made of wood"
benchmark,something that can be measured and used as a standard that other things can be compared with
bend,"a curve or turn, especially in a road or river"
beneath,in or to a lower position than somebody/something; under somebody/something
beneficial,improving a situation; having a helpful or useful effect
beneficiary,a person who gains as a result of something
benefit,an advantage that something gives you; a helpful and useful effect that something has
bent,not straight
beside,next to or at the side of somebody/something
besides,used for making an extra comment that adds to what you have just said
best,of the most excellent type or quality
bet,"an arrangement to risk money, etc. on the result of a particular event; the money that you risk in this way"
betray,to give information about somebody/something to an enemy
better,of a higher standard or less poor quality; not as bad as something else
between,"in the space or period of time separating two or more points, objects, etc. or two dates, events, etc."
beyond,on the other side; further on
bias,"a strong feeling in favour of or against one group of people, or one side in an argument, often not based on fair judgement"
bicycle,a road vehicle with two wheels that you ride by pushing the pedals with your feet
bid,an offer by a person or a company to pay a particular amount of money for something
big,"large in size, degree, amount, etc."
bike,a bicycle
bill,a document that shows how much you owe somebody for goods or services
billion,1 000 000 000; one thousand million
bin,a container that you put waste in
bind,"to tie somebody/something with rope, string, etc. so that they/it cannot move or are held together strongly"
biography,the story of a person’s life written by somebody else; this type of writing
biological,connected with the science of biology
biology,the scientific study of the life and structure of plants and animals
bird,a creature that is covered with feathers and has two wings and two legs. Most birds can fly.
birth,the time when a baby is born; the process of being born
birthday,the day in each year which is the same date as the one on which you were born
biscuit,"a small flat dry cake for one person, usually sweet, and baked until hard"
bishop,a senior priest in charge of the work of the Church in a city or district
bit,rather; to some extent
bite,an act of biting
bitter,"having a strong, unpleasant taste; not sweet"
bizarre,very strange or unusual
black,"having the very darkest colour, like coal or the sky at night"
blade,"the flat part of a knife, tool or machine, which has a sharp edge or edges for cutting"
blame,responsibility for doing something badly or wrongly; saying that somebody is responsible for something
blank,"empty, with nothing written, printed or recorded on it"
blanket,"a large cover, often made of wool, used especially on beds to keep people warm"
blast,an explosion or a powerful movement of air caused by an explosion
bleed,"to lose blood, especially from a wound or an injury"
blend,a mixture of different types of the same thing
bless,to ask God to protect somebody/something
blessing,"God’s help and protection, or a prayer asking for this"
blind,not able to see
block,a large piece of a solid material that is square or rectangular in shape and usually has flat sides
blog,"a website where an individual person, or people representing an organization, write regularly about recent events or topics that interest them, usually with photos and links to other websites that they find interesting"
blonde,pale gold in colour
blood,the red liquid that flows through the bodies of humans and animals
blow,"a hard hit with the hand, a weapon, etc."
blue,having the colour of a clear sky or the sea on a clear day
board,"a long thin piece of strong hard material, especially wood, used, for example, for making floors, building walls and roofs and making boats"
boast,to talk in a way that shows you are too proud of something that you have or can do
boat,"a vehicle (smaller than a ship) that travels on water, moved by oars, sails or a motor"
body,the whole physical structure of a human or an animal
boil,"when a liquid boils or when you boil it, it is heated to the point where it forms bubbles and turns to steam or vapour"
bold,brave and confident; not afraid to say what you feel or to take risks
bomb,a weapon designed to explode at a particular time or when it is dropped or thrown
bombing,an occasion when a bomb is dropped or left somewhere; the act of doing this
bond,"something that forms a connection between people or groups, such as a feeling of friendship or shared ideas and experiences"
bone,any of the hard parts that form the skeleton of the body of a human or an animal
bonus,"an extra amount of money that is added to a payment, especially to somebody’s wages or salary as a reward"
book,a set of printed pages that are fastened inside a cover so that you can turn them and read them
booking,"an arrangement that you make in advance to buy a ticket to travel somewhere, go to the theatre, etc."
boom,a sudden increase in trade and economic activity; a period of wealth and success
boost,something that helps or encourages somebody/something
boot,a strong shoe that covers the foot and ankle and often the lower part of the leg
border,the line that divides two countries or areas; the land near this line
bored,feeling tired and impatient because you have lost interest in somebody/something or because you have nothing to do
boring,not interesting; making you feel tired and impatient
born,to come out of your mother’s body at the beginning of your life
borrow,"to take and use something that belongs to somebody else, and return it to them at a later time"
boss,a person who is in charge of other people at work and tells them what to do
both,used with plural nouns to mean ‘the two’ or ‘the one as well as the other’
bother,to spend time and/or energy doing something
bottle,"a glass or plastic container, usually round with straight sides and a narrow neck, used especially for storing liquids"
bottom,"in the lowest, last or furthest place or position"
bounce,"if something bounces or you bounce it, it moves quickly away from a surface it has just hit or you make it do this"
bound,"certain or likely to happen, or to do or be something"
boundary,a real or imagined line that marks the limits or edges of something and separates it from other things or places; a dividing line
bow,the act of bending your head or the upper part of your body forward in order to say hello or goodbye to somebody or to show respect
bowl,"a deep round dish with a wide open top, used especially for holding food or liquid"
box,"a container made of wood, thick card, metal, etc. with a flat stiff base and sides and often a lid (= cover), used especially for holding solid things"
boy,a male child or a young male person
boyfriend,a man or boy that somebody has a romantic or sexual relationship with
brain,"the organ inside the head that controls movement, thought, memory and feeling"
branch,"a part of a tree that grows out from the main stem and on which leaves, flowers and fruit grow"
brand,"a type of product, service, etc. made or offered by a particular company under a particular name"
brave,"willing to do things that are difficult, dangerous or painful; not afraid"
breach,a failure to do something that must be done by law
bread,"a type of food made from flour, water and usually yeast mixed together and baked"
break,"a short period of time when you stop what you are doing and rest, eat, etc."
breakdown,an occasion when a vehicle or machine stops working
breakfast,the first meal of the day
breakthrough,an important development that may lead to an agreement or achievement
breast,either of the two round soft parts at the front of a woman’s body that produce milk when she has had a baby
breath,the air that you take into your lungs and send out again
breathe,to take air into your lungs and send it out again through your nose or mouth
breathing,the action of taking air into the lungs and sending it out again
breed,"a particular type of animal that has been developed by people in a certain way, especially a type of dog, cat or farm animal"
brick,"baked clay used for building walls, houses and other buildings; an individual block of this"
bride,"a woman on her wedding day, or just before or just after it"
bridge,"a structure that is built over a road, railway, river, etc. so that people, vehicles, etc. can cross from one side to the other"
brief,lasting only a short time; short
briefly,for a short time
bright,full of light; shining strongly
brilliant,extremely clever or impressive
bring,to come to a place with somebody/something
broadband,"a way of connecting to the internet that allows you to receive information, including pictures, etc., very quickly and that is always active (so that the user does not have to connect each time)"
broadcast,a radio or television programme
broadcaster,a person whose job is presenting or talking on television or radio programmes
broadly,"generally, without considering details"
broken,that has been damaged or injured; no longer whole or working correctly
brother,a boy or man who has the same parents as another person
brown,having the colour of earth or coffee
browser,a computer program that lets you look at or read documents on the World Wide Web
brush,"an object made of short stiff hairs (called bristles) or wires set in a block of wood or plastic, usually attached to a handle. Brushes are used for many different jobs, such as cleaning, painting and tidying your hair."
brutal,violent and cruel
bubble,"a ball of air or gas in a liquid, or a ball of air inside a solid substance such as glass"
